,nan,transgender female,intersex,fa'afafine,transgender,American football player,Gender fluid,sociologist,transgender male,female creature,male creature,woman,genderqueer,female,male,kathoey
Q3779582|Q202883|,,,,,,,,,,,,,,,1.0,
Q3779582|Q2487799|,,,,,,,,,,,,,,1.0,1.0,
Q3779582|Q2919046|,,,,,,,,,,,,,,,1.0,
Q3779582|Q36180|,,,,,,,,,,,,,,,2.0,
Q3779582|Q39631|,,,,,,,,,,,,,,,1.0,
Q3779582|Q593644|,,,,,,,,,,,,,,,1.0,
Q3779582|Q82955|,,,,,,,,,,,,,,2.0,,
Q3779582|Q901|,,,,,,,,,,,,,,,2.0,
Q3779582|Q913404|,,,,,,,,,,,,,,,1.0,
Q378622|,,,,,,,,,,,,,,34.0,1519.0,
Q378622|Q10841764|,,,,,,,,,,,,,,,17.0,
Q378622|Q10841764|Q10842936|,,,,,,,,,,,,,,,1.0,
Q378622|Q10841764|Q17614049|,,,,,,,,,,,,,,,1.0,
Q378622|Q10841764|Q2066131|,,,,,,,,,,,,,,,1.0,
Q378622|Q10841764|Q82955|,,,,,,,,,,,,,,,1.0,
Q378622|Q10842936|,,,,,,,,,,,,,,,1.0,
Q378622|Q10842936|Q17614049|,,,,,,,,,,,,,,,1.0,
Q378622|Q10842936|Q4144610|Q15958185|,,,,,,,,,,,,,,,1.0,
Q378622|Q10842936|Q81096|,,,,,,,,,,,,,,,3.0,
Q378622|Q10866633|,,,,,,,,,,,,,,,1.0,
Q378622|Q10866633|Q3014296|,,,,,,,,,,,,,,,1.0,
Q378622|Q112040|,,,,,,,,,,,,,,1.0,,
Q378622|Q12030028|Q43845|,,,,,,,,,,,,,,1.0,,
Q378622|Q131524|,,,,,,,,,,,,,,,5.0,
Q378622|Q131524|Q215536|,,,,,,,,,,,,,,,1.0,
Q378622|Q131524|Q81096|,,,,,,,,,,,,,,,1.0,
Q378622|Q13219447|,,,,,,,,,,,,,,1.0,,
Q378622|Q13382608|,,,,,,,,,,,,,,,1.0,
Q378622|Q1569495|,,,,,,,,,,,,,,,1.0,
Q378622|Q15958185|,,,,,,,,,,,,,,,7.0,
Q378622|Q17614049|,,,,,,,,,,,,,,,31.0,
Q378622|Q17614049|Q2066131|,,,,,,,,,,,,,,,1.0,
Q378622|Q18814623|,,,,,,,,,,,,,,,2.0,
Q378622|Q1930187|,,,,,,,,,,,,,,,3.0,
Q378622|Q1930187|Q3014296|,,,,,,,,,,,,,,,2.0,
Q378622|Q2066131|,,,,,,,,,,,,,,1.0,1.0,
Q378622|Q2095549|,,,,,,,,,,,,,,,2.0,
Q378622|Q2193183|Q1475726|,,,,,,,,,,,,,,,1.0,
Q378622|Q2309784|,,,,,,,,,,,,,,1.0,3.0,
Q378622|Q2462658|,,,,,,,,,,,,,,,1.0,
Q378622|Q3014296|,,,,,,,,,,,,,,,22.0,
Q378622|Q3014296|Q15958185|,,,,,,,,,,,,,,,1.0,
Q378622|Q3014296|Q17614049|,,,,,,,,,,,,,,,1.0,
Q378622|Q3014296|Q33231|,,,,,,,,,,,,,,,1.0,
Q378622|Q3014296|Q81096|,,,,,,,,,,,,,,,1.0,
Q378622|Q33999|,,,,,,,,,,,,,,,1.0,
Q378622|Q4144610|Q3014296|,,,,,,,,,,,,,,,1.0,
Q378622|Q42973|,,,,,,,,,,,,,,,1.0,
Q378622|Q43845|,,,,,,,,,,,,,,,2.0,
Q378622|Q43845|Q2462658|,,,,,,,,,,,,,,,1.0,
Q378622|Q81096|,,,,,,,,,,,,,,,69.0,
Q378622|Q81096|Q3014296|Q730242|,,,,,,,,,,,,,,,1.0,
Q378622|Q82955|,,,,,,,,,,,,,,,1.0,
Q378622|Q855091|,,,,,,,,,,,,,,,1.0,
Q378622|Q947873|,,,,,,,,,,,,,,2.0,,
Q378770|,,,,,,,,,,,,,,,2.0,
Q379318|Q730242|Q2095549|Q189290|,,,,,,,,,,,,,,,1.0,
Q380075|,,,,,,,,,,,,,,,2.0,
Q380075|Q121594|,,,,,,,,,,,,,,,1.0,
Q38022|,,,,,,,,,,,,,,1.0,,
Q3802546|,,,,,,,,,,,,,,,3.0,
Q3802546|Q17488357|Q860918|,,,,,,,,,,,,,,,1.0,
Q3802546|Q185992|,,,,,,,,,,,,,,,1.0,
Q3802546|Q201788|Q2306091|,,,,,,,,,,,,,,,1.0,
Q3802546|Q4964182|Q201788|,,,,,,,,,,,,,,,1.0,
Q3802546|Q620573|,,,,,,,,,,,,,,,1.0,
Q3802546|Q620573|Q201788|,,,,,,,,,,,,,,,1.0,
Q380342|,,,,,,,,,,,,,,,1.0,
Q380342|Q82955|,,,,,,,,,,,,,,,1.0,
Q380351|Q3410028|Q82955|Q2516866|,,,,,,,,,,,,,,1.0,,
Q3809586|Q3809586|,,,,,,,,,,,,,,,1.0,
Q3809586|Q482980|Q3809586|Q3809586|Q3809586|Q3809586|Q3809586|Q3809586|Q3809586|,,,,,,,,,,,,,,,1.0,
Q38112|,,,,,,,,,,,,,,,1.0,
Q38112|Q2487799|,,,,,,,,,,,,,,,1.0,
Q381353|,,,,,,,,,,,,,,525.0,2.0,
Q381353|Q1028181|,,,,,,,,,,,,,,1.0,,
Q381353|Q1028181|Q36180|,,,,,,,,,,,,,,1.0,,
Q381353|Q1086863|,,,,,,,,,,,,,,1.0,,
Q381353|Q11774202|,,,,,,,,,,,,,,10.0,,
Q381353|Q11774202|Q1930187|,,,,,,,,,,,,,,1.0,,
Q381353|Q11774202|Q333634|,,,,,,,,,,,,,,1.0,,
Q381353|Q11774202|Q6625963|,,,,,,,,,,,,,,2.0,,
Q381353|Q1231865|,,,,,,,,,,,,,,1.0,,
Q381353|Q12455619|,,,,,,,,,,,,,,1.0,,
Q381353|Q1281618|Q644687|,,,,,,,,,,,,,,1.0,,
Q381353|Q130857|,,,,,,,,,,,,,,1.0,,
Q381353|Q13156709|,,,,,,,,,,,,,,1.0,,
Q381353|Q1476215|,,,,,,,,,,,,,,1.0,,
Q381353|Q15253558|Q9379869|,,,,,,,,,,,,,,1.0,,
Q381353|Q15472169|Q3068305|,,,,,,,,,,,,,,1.0,,
Q381353|Q15980158|Q6625963|,,,,,,,,,,,,,,1.0,,
Q381353|Q1622272|,,,,,,,,,,,,,,1.0,,
Q381353|Q17307272|,,,,,,,,,,,,,,1.0,,
Q381353|Q177220|,,,,,,,,,,,,,,1.0,,
Q381353|Q177220|Q36834|,,,,,,,,,,,,,,1.0,,
Q381353|Q18533509|,,,,,,,,,,,,,,1.0,,
Q381353|Q185351|,,,,,,,,,,,,,,1.0,,
Q381353|Q18814623|,,,,,,,,,,,,,,6.0,,
Q381353|Q18814623|Q1476215|,,,,,,,,,,,,,,1.0,,
Q381353|Q18814623|Q6625963|,,,,,,,,,,,,,,1.0,,
Q381353|Q18814623|Q8178443|,,,,,,,,,,,,,,1.0,,
Q381353|Q1900167|Q4964182|,,,,,,,,,,,,,,1.0,,
Q381353|Q1930187|,,,,,,,,,,,,,,54.0,,
Q381353|Q1930187|Q214917|Q6625963|Q28389|,,,,,,,,,,,,,,1.0,,
Q381353|Q1930187|Q3282637|,,,,,,,,,,,,,,1.0,,
Q381353|Q1930187|Q333634|,,,,,,,,,,,,,,2.0,,
Q381353|Q1930187|Q37226|,,,,,,,,,,,,,,1.0,,
Q381353|Q1930187|Q49757|,,,,,,,,,,,,,,3.0,,
Q381353|Q1930187|Q6625963|,,,,,,,,,,,,,,8.0,,
Q381353|Q1930187|Q8178443|,,,,,,,,,,,,,,1.0,,
Q381353|Q193391|,,,,,,,,,,,,,,1.0,,
Q381353|Q201788|,,,,,,,,,,,,,,3.0,,
Q381353|Q201788|Q18814623|,,,,,,,,,,,,,,1.0,,
Q381353|Q211346|Q39631|,,,,,,,,,,,,,,1.0,,
Q381353|Q212980|,,,,,,,,,,,,,,1.0,,
Q381353|Q212980|Q49757|,,,,,,,,,,,,,,1.0,,
Q381353|Q214917|Q6625963|,,,,,,,,,,,,,,1.0,,
Q381353|Q2306091|,,,,,,,,,,,,,,3.0,,
Q381353|Q2309784|,,,,,,,,,,,,,,1.0,,
Q381353|Q2516866|Q947873|,,,,,,,,,,,,,,1.0,,
Q381353|Q2526255|,,,,,,,,,,,,,,1.0,,
Q381353|Q28389|,,,,,,,,,,,,,,2.0,,
Q381353|Q2917466|,,,,,,,,,,,,,,1.0,,
Q381353|Q3068305|,,,,,,,,,,,,,,11.0,,
Q381353|Q3068305|Q8178443|,,,,,,,,,,,,,,1.0,,
Q381353|Q33231|,,,,,,,,,,,,,,1.0,,
Q381353|Q333634|,,,,,,,,,,,,,,5.0,,
Q381353|Q333634|Q4964182|,,,,,,,,,,,,,,1.0,,
Q381353|Q333634|Q6625963|,,,,,,,,,,,,,,2.0,,
Q381353|Q33999|,,,,,,,,,,,,,,2.0,,
Q381353|Q3579035|,,,,,,,,,,,,,,1.0,,
Q381353|Q36180|,,,,,,,,,,,,,,1.0,,
Q381353|Q36180|Q8178443|,,,,,,,,,,,,,,1.0,,
Q381353|Q37226|,,,,,,,,,,,,,,6.0,,
Q381353|Q37226|Q18814623|,,,,,,,,,,,,,,1.0,,
Q381353|Q4263842|,,,,,,,,,,,,,,2.0,,
Q381353|Q4263842|Q1930187|,,,,,,,,,,,,,,1.0,,
Q381353|Q42973|Q6625963|,,,,,,,,,,,,,,1.0,,
Q381353|Q483501|,,,,,,,,,,,,,,4.0,,
Q381353|Q483501|Q1930187|,,,,,,,,,,,,,,1.0,,
Q381353|Q49757|,,,,,,,,,,,,,,7.0,,
Q381353|Q49757|Q6625963|,,,,,,,,,,,,,,3.0,,
Q381353|Q49757|Q753110|,,,,,,,,,,,,,,1.0,,
Q381353|Q639669|,,,,,,,,,,,,,,1.0,,
Q381353|Q639669|Q483501|,,,,,,,,,,,,,,1.0,,
Q381353|Q644687|,,,,,,,,,,,,,,1.0,,
Q381353|Q6625963|,,,,,,,,,,,,,,106.0,,
Q381353|Q6625963|Q11774202|Q18814623|Q15949613|Q18939491|Q4263842|Q2516866|,,,,,,,,,,,,,,1.0,,
Q381353|Q6625963|Q15949613|,,,,,,,,,,,,,,1.0,,
Q381353|Q6625963|Q1930187|,,,,,,,,,,,,,,3.0,,
Q381353|Q6625963|Q1930187|Q1231865|,,,,,,,,,,,,,,1.0,,
Q381353|Q6625963|Q2095549|,,,,,,,,,,,,,,1.0,,
Q381353|Q6625963|Q214917|,,,,,,,,,,,,,,1.0,,
Q381353|Q6625963|Q28389|,,,,,,,,,,,,,,1.0,,
Q381353|Q6625963|Q36180|,,,,,,,,,,,,,,2.0,,
Q381353|Q6625963|Q49757|,,,,,,,,,,,,,,2.0,,
Q381353|Q6625963|Q49757|Q18814623|,,,,,,,,,,,,,,1.0,,
Q381353|Q694748|,,,,,,,,,,,,,,1.0,,
Q381353|Q8246794|,,,,,,,,,,,,,,3.0,,
Q381353|Q8246794|Q11774202|,,,,,,,,,,,,,,1.0,,
Q381353|Q82955|,,,,,,,,,,,,,,2.0,,
Q381353|Q860918|,,,,,,,,,,,,,,1.0,,
Q381353|Q9149093|,,,,,,,,,,,,,,2.0,,
Q38142|,,,,,,,,,,,,,,,14.0,
Q38142|Q212418|,,,,,,,,,,,,,,,1.0,
Q38142|Q61982|,,,,,,,,,,,,,,,1.0,
Q38142|Q854997|,,,,,,,,,,,,,,,1.0,
Q382617|,,,,,,,,,,,,,,,4.0,
Q382617|Q3780304|,,,,,,,,,,,,,,,1.0,
Q382887|,,,,,,,,,,,,,,,1.0,
Q3843063|,,,,,,,,,,,,,,,1.0,
Q3843153|,,,,,,,,,,,,,,,1.0,
Q384593|,,,,,,,,,,,,,,67.0,1060.0,
Q384593|Q1231865|,,,,,,,,,,,,,,,1.0,
Q384593|Q12455619|,,,,,,,,,,,,,,1.0,,
Q384593|Q13414980|,,,,,,,,,,,,,,,1.0,
Q384593|Q14089670|,,,,,,,,,,,,,,,3.0,
Q384593|Q14373094|,,,,,,,,,,,,,,,1.0,
Q384593|Q1476215|,,,,,,,,,,,,,,1.0,,
Q384593|Q185351|,,,,,,,,,,,,,,,1.0,
Q384593|Q193391|,,,,,,,,,,,,,,,2.0,
Q384593|Q20725072|,,,,,,,,,,,,,,,2.0,
Q384593|Q20726593|,,,,,,,,,,,,,,,1.0,
Q384593|Q212238|,,,,,,,,,,,,,,,5.0,
Q384593|Q2309784|,,,,,,,,,,,,,,,1.0,
Q384593|Q2730732|,,,,,,,,,,,,,,,1.0,
Q384593|Q33999|,,,,,,,,,,,,,,,1.0,
Q384593|Q33999|Q762121|,,,,,,,,,,,,,,,1.0,
Q384593|Q36180|,,,,,,,,,,,,,,1.0,2.0,
Q384593|Q36180|Q1058617|Q691167|,,,,,,,,,,,,,,,1.0,
Q384593|Q37226|,,,,,,,,,,,,,,,1.0,
Q384593|Q40348|,,,,,,,,,,,,,,,1.0,
Q384593|Q43845|,,,,,,,,,,,,,,,1.0,
Q384593|Q43845|Q14373094|,,,,,,,,,,,,,,,1.0,
Q384593|Q4773904|Q8142883|Q33231|,,,,,,,,,,,,,,,1.0,
Q384593|Q4991371|,,,,,,,,,,,,,,,1.0,
Q384593|Q4991371|Q36180|,,,,,,,,,,,,,,,1.0,
Q384593|Q5261091|,,,,,,,,,,,,,,,1.0,
Q384593|Q6665249|,,,,,,,,,,,,,,1.0,,
Q384593|Q7199372|,,,,,,,,,,,,,,,1.0,
Q384593|Q7358|,,,,,,,,,,,,,,,1.0,
Q384593|Q806798|Q856887|,,,,,,,,,,,,,,,1.0,
Q384593|Q81096|,,,,,,,,,,,,,,1.0,1.0,
Q384593|Q8142883|,,,,,,,,,,,,,,,1.0,
Q384593|Q82955|,,,,,,,,,,,,,,,26.0,
Q384593|Q9017214|Q482980|,,,,,,,,,,,,,,,1.0,
Q384593|Q915073|Q372391|,,,,,,,,,,,,,,,1.0,
Q384593|Q9352089|,,,,,,,,,,,,,,,3.0,
Q384593|Q947873|Q482980|,,,,,,,,,,,,,,,1.0,
Q385378|,,,,,,,,,,,,,,,1.0,
Q386208|,,,,,,,,,,,,,,,1.0,
Q386215|,,,,,,,,,,,,,,,1.0,
Q38677|,,,,,,,,,,,,,,,1.0,
Q386854|,6.0,,,,,,,,,,,,,15.0,778.0,
Q386854|Q130857|,,,,,,,,,,,,,,,1.0,
Q386854|Q130857|Q177220|Q639669|,,,,,,,,,,,,,,,1.0,
Q386854|Q130857|Q639669|,,,,,,,,,,,,,,,1.0,
Q386854|Q13218361|,,,,,,,,,,,,,,,1.0,
Q386854|Q15981151|,,,,,,,,,,,,,,,29.0,
Q386854|Q16145150|,,,,,,,,,,,,,,2.0,12.0,
Q386854|Q16145150|Q15981151|,,,,,,,,,,,,,,,1.0,
Q386854|Q17093672|Q15981151|,,,,,,,,,,,,,,,1.0,
Q386854|Q17344998|Q974144|,,,,,,,,,,,,,,,1.0,
Q386854|Q177220|,,,,,,,,,,,,,,,6.0,
Q386854|Q177220|Q36834|,,,,,,,,,,,,,,,1.0,
Q386854|Q177220|Q639669|,,,,,,,,,,,,,,,1.0,
Q386854|Q177220|Q855091|,,,,,,,,,,,,,,,1.0,
Q386854|Q183945|,,,,,,,,,,,,,,,1.0,
Q386854|Q183945|Q753110|,,,,,,,,,,,,,,,1.0,
Q386854|Q201788|Q36180|,,,,,,,,,,,,,,,1.0,
Q386854|Q3089940|,,,,,,,,,,,,,,,1.0,
Q386854|Q33231|,,,,,,,,,,,,,,,1.0,
Q386854|Q33999|,,,,,,,,,,,,,,,2.0,
Q386854|Q33999|Q639669|,,,,,,,,,,,,,,,1.0,
Q386854|Q3427922|,,,,,,,,,,,,,,,1.0,
Q386854|Q36180|,,,,,,,,,,,,,,,2.0,
Q386854|Q36180|Q49757|,,,,,,,,,,,,,,,1.0,
Q386854|Q36834|,,,,,,,,,,,,,,,9.0,
Q386854|Q36834|Q15981151|,,,,,,,,,,,,,,,4.0,
Q386854|Q36834|Q177220|,,,,,,,,,,,,,,1.0,,
Q386854|Q36834|Q177220|Q33999|Q2405480|Q753110|,,,,,,,,,,,,,,,1.0,
Q386854|Q36834|Q18814623|,,,,,,,,,,,,,,,1.0,
Q386854|Q36834|Q3922505|,,,,,,,,,,,,,,,1.0,
Q386854|Q36834|Q486748|Q15981151|,,,,,,,,,,,,,,,1.0,
Q386854|Q36834|Q639669|,,,,,,,,,,,,,,,2.0,
Q386854|Q36834|Q639669|Q1414443|,,,,,,,,,,,,,,,1.0,
Q386854|Q37226|,,,,,,,,,,,,,,,1.0,
Q386854|Q37226|Q482980|Q16724455|,,,,,,,,,,,,,,1.0,,
Q386854|Q482980|,,,,,,,,,,,,,,1.0,,
Q386854|Q486748|Q753110|Q183945|Q36834|,,,,,,,,,,,,,,,1.0,
Q386854|Q488205|,,,,,,,,,,,,,,,1.0,
Q386854|Q488205|Q177220|Q15981151|,,,,,,,,,,,,,,,1.0,
Q386854|Q584301|Q177220|Q639669|,,,,,,,,,,,,,,,1.0,
Q386854|Q639669|,,,,,,,,,,,,,,,70.0,
Q386854|Q639669|Q1162163|Q3330547|Q482980|,,,,,,,,,,,,,,,1.0,
Q386854|Q639669|Q16145150|,,,,,,,,,,,,,,,2.0,
Q386854|Q639669|Q177220|,,,,,,,,,,,,,,,4.0,
Q386854|Q639669|Q2526255|,,,,,,,,,,,,,,,1.0,
Q386854|Q639669|Q33999|,,,,,,,,,,,,,,,1.0,
Q386854|Q639669|Q3501317|,,,,,,,,,,,,,,,1.0,
Q386854|Q639669|Q36834|,,,,,,,,,,,,,,,2.0,
Q386854|Q639669|Q584301|,,,,,,,,,,,,,,,1.0,
Q386854|Q639669|Q753110|,,,,,,,,,,,,,,,1.0,
Q386854|Q753110|,,,,,,,,,,,,,,,2.0,
Q386854|Q753110|Q128124|,,,,,,,,,,,,,,,1.0,
Q386854|Q798487|,,,,,,,,,,,,,,,1.0,
Q386854|Q806349|,,,,,,,,,,,,,,,4.0,
Q386854|Q806349|Q158852|Q15981151|,,,,,,,,,,,,,,,2.0,
Q386854|Q806349|Q158852|Q36834|Q15981151|,,,,,,,,,,,,,,,2.0,
Q386854|Q806349|Q16145150|,,,,,,,,,,,,,,,1.0,
Q386854|Q806349|Q36834|Q158852|Q15981151|,,,,,,,,,,,,,,,1.0,
Q386854|Q81096|Q128124|,,,,,,,,,,,,,,,1.0,
Q386854|Q81096|Q482980|Q128124|,,,,,,,,,,,,,,,1.0,
Q386854|Q822146|,,,,,,,,,,,,,,1.0,,
Q386854|Q822146|Q36180|Q36834|Q15981151|,,,,,,,,,,,,,,,1.0,
Q38695|,,,,,,,,,,,,,,1.0,,
Q3879926|,,,,,,,,,,,,,,2.0,,
Q388338|,,,,,,,,,,,,,,1.0,20.0,
Q388338|Q806798|,,,,,,,,,,,,,,,1.0,
Q388338|Q82955|,,,,,,,,,,,,,,,4.0,
Q388513|,2.0,,,,,,,,,,,,,,4.0,
Q38883|,,,,,,,,,,,,,,,4.0,
Q3891758|,,,,,,,,,,,,,,,1.0,
Q389565|Q3243461|,,,,,,,,,,,,,,,1.0,
Q39018|,,,,,,,,,,,,,,38.0,189.0,
Q39018|Q189290|,,,,,,,,,,,,,,,1.0,
Q39018|Q2304859|,,,,,,,,,,,,,,,1.0,
Q39018|Q36180|,,,,,,,,,,,,,,,1.0,
Q39018|Q36180|Q201788|,,,,,,,,,,,,,,,1.0,
Q39018|Q42603|Q2259532|,,,,,,,,,,,,,,,1.0,
Q39018|Q482980|,,,,,,,,,,,,,,,1.0,
Q39018|Q49757|,,,,,,,,,,,,,,1.0,3.0,
Q39018|Q5716684|,,,,,,,,,,,,,,1.0,,
Q39018|Q82955|,,,,,,,,,,,,,,,1.0,
Q39018|Q82955|Q201788|Q215909|Q36180|,,,,,,,,,,,,,,,1.0,
Q390409|,,,,,,,,,,,,,,,1.0,
Q390409|Q41583|,,,,,,,,,,,,,,,1.0,
Q390479|,,,,,,,,,,,,,,2.0,1.0,
Q3908516|,,,,,,,,,,,,,,,1.0,
Q3922505|,,,,,,,,,,,,,,,19.0,
Q3922505|Q1075651|Q36834|Q1643514|,,,,,,,,,,,,,,,1.0,
Q3922505|Q10816969|,,,,,,,,,,,,,,,1.0,
Q3922505|Q130857|,,,,,,,,,,,,,,,2.0,
Q3922505|Q130857|Q2722764|Q2252262|Q639669|Q753110|,,,,,,,,,,,,,,,1.0,
Q3922505|Q130857|Q36834|,,,,,,,,,,,,,,,1.0,
Q3922505|Q15981151|,,,,,,,,,,,,,,,1.0,
Q3922505|Q36834|Q1643514|,,,,,,,,,,,,,,,1.0,
Q3922505|Q639669|,,,,,,,,,,,,,,,1.0,
Q3922505|Q753110|,,,,,,,,,,,,,,,2.0,
Q3922505|Q753110|Q177220|Q36834|Q488205|,,,,,,,,,,,,,,,1.0,
Q3922505|Q855091|Q1075651|,,,,,,,,,,,,,,,1.0,
Q3922677|,,,,,,,,,,,,,,,1.0,
Q392651|,,,,,,,,,,,,,,3.0,9.0,
Q392651|Q81096|,,,,,,,,,,,,,,,1.0,
Q395372|Q445162|Q2722764|,,,,,,,,,,,,,,1.0,,
Q395|,,,,,,,,,,,,,,,1.0,
Q39631|,155.0,,,,,,,,,,,,,314.0,5094.0,
Q39631|Q1028181|,,,,,,,,,,,,,,1.0,7.0,
Q39631|Q1028181|Q1281618|,,,,,,,,,,,,,,,1.0,
Q39631|Q1028181|Q627325|Q33231|,,,,,,,,,,,,,,,1.0,
Q39631|Q10429346|,,,,,,,,,,,,,,,1.0,
Q39631|Q105186|,,,,,,,,,,,,,,,4.0,
Q39631|Q105186|Q1622272|,,,,,,,,,,,,,,,1.0,
Q39631|Q105186|Q169470|,,,,,,,,,,,,,,,1.0,
Q39631|Q105186|Q901|,,,,,,,,,,,,,,,1.0,
Q39631|Q10732476|,,,,,,,,,,,,,,,5.0,
Q39631|Q10732476|Q1028181|,,,,,,,,,,,,,,,1.0,
Q39631|Q10732476|Q15059856|,,,,,,,,,,,,,,,1.0,
Q39631|Q10862983|,,,,,,,,,,,,,,,1.0,
Q39631|Q10866633|,,,,,,,,,,,,,,,2.0,
Q39631|Q1086863|,,,,,,,,,,,,,,,1.0,
Q39631|Q1086863|Q1930187|Q1642960|,,,,,,,,,,,,,,,1.0,
Q39631|Q10872101|,,,,,,,,,,,,,,,30.0,
Q39631|Q10872101|Q121594|,,,,,,,,,,,,,,,1.0,
Q39631|Q10872101|Q14946079|,,,,,,,,,,,,,,,1.0,
Q39631|Q10872101|Q15814242|,,,,,,,,,,,,,,,2.0,
Q39631|Q10872101|Q16031527|,,,,,,,,,,,,,,,1.0,
Q39631|Q10872101|Q2251335|Q774306|Q36180|,,,,,,,,,,,,,,,1.0,
Q39631|Q10872101|Q2374149|Q482980|,,,,,,,,,,,,,,,1.0,
Q39631|Q10872101|Q37226|,,,,,,,,,,,,,,,1.0,
Q39631|Q10872101|Q4773904|Q6337803|Q901|Q82955|,,,,,,,,,,,,,,,1.0,
Q39631|Q10873124|,,,,,,,,,,,,,,,3.0,
Q39631|Q10873124|Q482980|,,,,,,,,,,,,,,,1.0,
Q39631|Q11063|,,,,,,,,,,,,,,,5.0,
Q39631|Q11063|Q155647|,,,,,,,,,,,,,,,1.0,
Q39631|Q11063|Q170790|,,,,,,,,,,,,,,,1.0,
Q39631|Q1137608|,,,,,,,,,,,,,,1.0,,
Q39631|Q1162163|,,,,,,,,,,,,,,,1.0,
Q39631|Q11631|,,,,,,,,,,,,,,1.0,5.0,
Q39631|Q11631|Q1351804|,,,,,,,,,,,,,,,1.0,
Q39631|Q11774202|,,,,,,,,,,,,,,,4.0,
Q39631|Q11774202|Q16062369|Q482980|,,,,,,,,,,,,,,,1.0,
Q39631|Q11815360|,,,,,,,,,,,,,,2.0,18.0,
Q39631|Q11815360|Q16062369|,,,,,,,,,,,,,,,1.0,
Q39631|Q11815360|Q28837|,,,,,,,,,,,,,,,1.0,
Q39631|Q11815360|Q82955|,,,,,,,,,,,,,,1.0,,
Q39631|Q11900058|,,,,,,,,,,,,,,,4.0,
Q39631|Q11900058|Q1371378|,,,,,,,,,,,,,,,1.0,
Q39631|Q11900058|Q15921002|,,,,,,,,,,,,,,,1.0,
Q39631|Q11900058|Q350979|Q15921002|Q105186|,,,,,,,,,,,,,,,1.0,
Q39631|Q11900058|Q482980|,,,,,,,,,,,,,,,1.0,
Q39631|Q12020057|Q2114605|Q593644|Q105186|Q182436|,,,,,,,,,,,,,,,1.0,
Q39631|Q121594|,2.0,,,,,,,,,,,,,7.0,68.0,
Q39631|Q121594|Q15978655|Q1607826|,,,,,,,,,,,,,,,1.0,
Q39631|Q121594|Q2919046|,,,,,,,,,,,,,,,1.0,
Q39631|Q121594|Q82955|,,,,,,,,,,,,,,,2.0,
Q39631|Q121998|Q193391|,,,,,,,,,,,,,,,1.0,
Q39631|Q1231865|,,,,,,,,,,,,,,9.0,127.0,
Q39631|Q1231865|Q15924224|,,,,,,,,,,,,,,,1.0,
Q39631|Q1231865|Q36180|,,,,,,,,,,,,,,,14.0,
Q39631|Q1231865|Q36180|Q14915627|,,,,,,,,,,,,,,,1.0,
Q39631|Q1231865|Q36180|Q214917|,,,,,,,,,,,,,,,1.0,
Q39631|Q1231865|Q4773904|,,,,,,,,,,,,,,,3.0,
Q39631|Q1231865|Q58968|Q212980|Q201788|,,,,,,,,,,,,,,,1.0,
Q39631|Q1231865|Q82955|,,,,,,,,,,,,,,,5.0,
Q39631|Q1234713|,,,,,,,,,,,,,,,7.0,
Q39631|Q1234713|Q15924224|Q1035509|,,,,,,,,,,,,,,1.0,,
Q39631|Q1234713|Q16742175|,,,,,,,,,,,,,,,1.0,
Q39631|Q1234713|Q1734662|Q36180|,,,,,,,,,,,,,,,1.0,
Q39631|Q1234713|Q2516866|,,,,,,,,,,,,,,,1.0,
Q39631|Q1234713|Q270141|Q482980|,,,,,,,,,,,,,,,1.0,
Q39631|Q1259917|Q82955|,,,,,,,,,,,,,,,1.0,
Q39631|Q1281618|,,,,,,,,,,,,,,,1.0,
Q39631|Q1281618|Q783906|Q15296811|,,,,,,,,,,,,,,,1.0,
Q39631|Q131512|,,,,,,,,,,,,,,,3.0,
Q39631|Q131512|Q694116|Q82955|,,,,,,,,,,,,,,,1.0,
Q39631|Q131524|,,,,,,,,,,,,,,,7.0,
Q39631|Q131524|Q15618389|,,,,,,,,,,,,,,,1.0,
Q39631|Q131524|Q82955|,,,,,,,,,,,,,,,1.0,
Q39631|Q131524|Q901|Q169470|Q205375|,,,,,,,,,,,,,,,1.0,
Q39631|Q13156709|,,,,,,,,,,,,,,,1.0,
Q39631|Q13219424|,,,,,,,,,,,,,,,1.0,
Q39631|Q13219587|,,,,,,,,,,,,,,1.0,,
Q39631|Q1328323|,,,,,,,,,,,,,,,1.0,
Q39631|Q133485|,,,,,,,,,,,,,,,4.0,
Q39631|Q13382460|,,,,,,,,,,,,,,,2.0,
Q39631|Q13382603|Q13382605|,,,,,,,,,,,,,,,1.0,
Q39631|Q13416354|,,,,,,,,,,,,,,,3.0,
Q39631|Q13416803|,,,,,,,,,,,,,,1.0,5.0,
Q39631|Q13416803|Q1622272|,,,,,,,,,,,,,,,1.0,
Q39631|Q13416803|Q2732142|,,,,,,,,,,,,,,,1.0,
Q39631|Q13416803|Q82955|,,,,,,,,,,,,,,,1.0,
Q39631|Q13418253|,,,,,,,,,,,,,,,2.0,
Q39631|Q13464497|,,,,,,,,,,,,,,,1.0,
Q39631|Q1350189|Q11063|,,,,,,,,,,,,,,,1.0,
Q39631|Q1350189|Q270141|Q3579035|,,,,,,,,,,,,,,,1.0,
Q39631|Q13638192|,,,,,,,,,,,,,,,4.0,
Q39631|Q1371378|,,,,,,,,,,,,,,,3.0,
Q39631|Q1371378|Q36180|,,,,,,,,,,,,,,,1.0,
Q39631|Q14089670|,,,,,,,,,,,,,,,5.0,
