,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
Q1006330,,,,,,,,,,,2.0,
Q1006338,,,,,,,,,,1.0,6.0,
Q1006346,,,,,,,,,,,1.0,
Q1006350,,,,,,,,,,,1.0,
Q1006355,,,,,,,,,,,2.0,
Q1006363,,,,,,,,,,,1.0,
Q1006372,,,,,,,,,,,1.0,
Q1006385,,,,,,,,,,,1.0,
Q1006389,,,,,,,,,,,1.0,
Q1006397,,,,,,,,,,,1.0,
Q1006408,,,,,,,,,,,4.0,
Q1006413,,,,,,,,,,,1.0,
Q1006472,,,,,,,,,,,1.0,
Q100654,,,,,,,,,,,1.0,
Q1006552,,,,,,,,,,,1.0,
Q1006561,,,,,,,,,,,1.0,
Q1006574,,,,,,,,,,2.0,3.0,
Q1006604,,,,,,,,,,,1.0,
Q1006629,,,,,,,,,,,1.0,
Q1006641,,,,,,,,,,1.0,1.0,
Q1006668,,,,,,,,,,2.0,16.0,
Q1006756,,,,,,,,,,,4.0,
Q1006767,,,,,,,,,,,1.0,
Q1006796,,,,,,,,,,,1.0,
Q1006802,,,,,,,,,,,1.0,
Q1006813,,,,,,,,,,,4.0,
Q1006814,,,,,,,,,,,1.0,
Q1006865,,,,,,,,,,1.0,5.0,
Q1006960,,,,,,,,,,,1.0,
Q1006973,,,,,,,,,,,1.0,
Q1006979,,,,,,,,,,,1.0,
Q1006990,,,,,,,,,,,4.0,
Q1006998,,,,,,,,,,,1.0,
Q1007,,,,,,,,,,,1.0,
Q1007011,,,,,,,,,,2.0,10.0,
Q1007020,,,,,,,,,,,2.0,
Q1007028,,,,,,,,,,,2.0,
Q1007032,,,,,,,,,,1.0,1.0,
Q1007037,,,,,,,,,,,6.0,
Q1007050,,,,,,,,,,,1.0,
Q1007057,,,,,,,,,,1.0,1.0,
Q1007064,,,,,,,,,,1.0,,
Q1007079,,,,,,,,,,,1.0,
Q1007083,,,,,,,,,,1.0,4.0,
Q1007088,,,,,,,,,,3.0,13.0,
Q1007093,,,,,,,,,,1.0,4.0,
Q1007106,,,,,,,,,,2.0,6.0,
Q1007111,,,,,,,,,,,1.0,
Q1007134,,,,,,,,,,,1.0,
Q1007156,,,,,,,,,,,1.0,
Q1007162,,,,,,,,,,,1.0,
Q1007168,,,,,,,,,,,1.0,
Q1007172,,,,,,,,,,,2.0,
Q1007176,,,,,,,,,,,1.0,
Q1007191,,,,,,,,,,,1.0,
Q1007201,,,,,,,,,,,3.0,
Q1007208,,,,,,,,,,,1.0,
Q1007232,,,,,,,,,,,2.0,
Q1007272,,,,,,,,,,,1.0,
Q1007275,,,,,,,,,,,1.0,
Q10073,,,,,,,,,,,1.0,
Q1007303,,,,,,,,,,,1.0,
Q1007342,,,,,,,,,,,2.0,
Q1007355,,,,,,,,,,1.0,,
Q1007378,,,,,,,,,,,1.0,
Q10074,,,,,,,,,,,1.0,
Q1007407,,,,,,,,,,1.0,2.0,
Q1007418,,,,,,,,,,2.0,7.0,
Q1007425,,,,,,,,,,1.0,,
Q1007449,,,,,,,,,,,1.0,
