,nan,transgender male,female,male
Q2520728|,,,,1.0
Q25261|,,,,1.0
Q2526255|,,,,1.0
Q25312|,,,,2.0
Q25324|,,,1.0,
Q25326|,,,,1.0
Q25372|,,,,1.0
Q253854|,,,,1.0
Q2539|,,,1.0,
Q2540376|Q7278|,,,,1.0
Q254651|Q11900058|,,,,1.0
Q25814|,,,,1.0
Q258212|,,,,1.0
Q2583784|,,,,1.0
Q2599593|,,,,1.0
Q262283|Q1206081|Q182357|Q25372|,,,,1.0
Q2624777|,,,,1.0
Q2669169|,,,,1.0
Q268416|,,,,1.0
Q269323|,,,,1.0
Q26939|,,,,1.0
Q269915|,,,,1.0
Q2707485|,,,,1.0
Q271008|,,,1.0,1.0
Q271008|Q191691|,,,,1.0
Q271588|,,,1.0,1.0
Q27183|,,,1.0,
Q271977|,,,1.0,23.0
Q271977|Q12479|,,,,2.0
Q271977|Q44455|Q188444|,,,,1.0
Q2721171|,,,,1.0
Q272576|,1.0,,,
Q2732142|Q201788|,,,,1.0
Q273623|Q943365|,,,,1.0
Q2736|,,,,5.0
Q2737409|,,,1.0,8.0
Q2737409|Q12818349|Q280817|,,,,1.0
Q2737409|Q243551|,,,,1.0
Q2737409|Q3046554|,,,,1.0
Q2737409|Q335414|,,,,1.0
Q2737409|Q484181|,,,,5.0
Q2737409|Q484181|Q335414|,,,,1.0
Q2737409|Q484181|Q9603|,,,,1.0
Q2737409|Q8473|,,,,1.0
Q27387|,,,,1.0
Q2747152|,,,,1.0
Q2747152|Q847486|,,,,1.0
Q2747862|,,,,1.0
Q275396|,,,1.0,
Q2762504|,,,1.0,
Q2763|,,,1.0,2.0
Q276412|,,,,1.0
Q27654|,,,,2.0
Q27654|Q181207|,,,,1.0
Q27654|Q491412|,,,,1.0
Q27654|Q596284|Q9471|Q484761|,,,1.0,
Q2767140|,,,,1.0
Q27686|Q2876213|,,,,1.0
Q27890|Q484591|Q495304|Q36180|,,,,1.0
Q27908|Q765778|Q3772686|,,,1.0,
Q27939|,,,,1.0
Q280817|Q335414|Q193104|,,,,1.0
Q280817|Q482|Q8091|Q8087|Q8078|,,,,1.0
Q28161|,,,,1.0
Q282129|,,,,1.0
Q282129|Q17279581|,,,,1.0
Q2823717|,,,,1.0
Q282503|,,,,1.0
Q28319|,,,,6.0
Q2839016|Q191163|,,,,1.0
Q2840|,,,,1.0
Q2855609|,,,2.0,
Q2860334|,,,,1.0
Q2878974|,,,,1.0
Q28793|,,,,1.0
Q2882201|,,,,1.0
Q2891147|,,,,1.0
Q2898215|,,,,1.0
Q2916094|,,,,1.0
Q2922870|,,,,1.0
Q2944277|,,,,1.0
Q295031|,,,,1.0
Q29583|,,,1.0,2.0
Q2962928|,,,,1.0
