,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
Q482942,,,,,,,,,,3.0,4.0,
Q4829787,,,,,,,,,,,1.0,
Q483047,,,,,,,,,,,2.0,
Q483505,,,,,,,,,,,3.0,
Q483569,,,,,,,,,,3.0,18.0,
Q484206,,,,,,,,,,1.0,7.0,
Q484464,,,,,,,,,,9.0,9.0,
Q484472,1.0,,,,,,,,,,,
Q485150,1.0,,,,,,,,,21.0,71.0,
Q485348,,,,,,,,,,,1.0,
Q4855425,,,,,,,,,,1.0,,
Q4855480,,,,,,,,,,,1.0,
Q4857281,,,,,,,,,,,1.0,
Q4857290,,,,,,,,,,,2.0,
Q4857300,,,,,,,,,,,1.0,
Q485732,2.0,,,,,,,,,,3.0,
Q4857320,,,,,,,,,,,2.0,
Q4887673,,,,,,,,,,,1.0,
Q4887679,,,,,,,,,,9.0,71.0,
Q49078,,,,,,,,,,22.0,30.0,
Q49085,,,,,,,,,,72.0,69.0,
Q49209,,,,,,,,,,,4.0,
Q4920978,,,,,,,,,,,1.0,
Q49297,,,,,,,,,,9.0,3.0,
Q4947387,,,,,,,,,,,1.0,
Q49540,,,,,,,,,,1.0,1.0,
Q49542,,,,,,,,,,6.0,23.0,
Q4969441,,,,,,,,,,,2.0,
Q4987,,,,,,,,,,1.0,1.0,
Q4994350,,,,,,,,,,1.0,,
Q4997984,,,,,,,,,,,1.0,
Q4998637,,,,,,,,,,,1.0,
Q4999416,,,,,,,,,,1.0,,
Q50001,,,,,,,,,,26.0,14.0,
Q5002005,,,,,,,,,,,5.0,
Q501837,,,,,,,,,,,4.0,
Q5029681,,,,,,,,,,,1.0,
Q5030929,,,,,,,,,,1.0,,
Q5031141,,,,,,,,,,,1.0,
Q503963,,,,,,,,,,1.0,5.0,
Q510023,,,,,,,,,,1.0,,
Q510032,,,,,,,,,,1.0,1.0,
Q5137,,,,,,,,,,,2.0,
Q51705,,,,,,,,,,,1.0,
Q5172105,,,,,,,,,,,1.0,
Q518188,,,,,,,,,,1.0,1.0,
Q5187,,,,,,,,,,,1.0,
Q5290725,,,,,,,,,,1.0,2.0,
Q5330004,,,,,,,,,,1.0,,
Q533312,,,,,,,,,,1.0,,
Q536129,,,,,,,,,,1.0,,
Q538636,,,,,,,,,,1.0,15.0,
Q539051,116.0,,,,,,,,,190.0,2395.0,
Q541508,,,,,,,,,,1.0,3.0,
Q543213,,,,,,,,,,1.0,,
Q543386,,,,,,,,,,,1.0,
Q5448648,,,,,,,,,,1.0,,
Q547748,,,,,,,,,,1.0,,
Q55,,,,,,,,,,,1.0,
Q5501667,,,,,,,,,,2.0,1.0,
Q561041,,,,,,,,,,4.0,,
Q5622802,,,,,,,,,,1.0,1.0,
Q5639720,,,,,,,,,,1.0,1.0,
Q5742729,,,,,,,,,,,1.0,
Q577055,,,,,,,,,,2.0,8.0,
Q581780,,,,,,,,,,,22.0,
Q581921,,,,,,,,,,5.0,1.0,
Q58669,,,,,,,,,,8.0,5.0,
Q5869624,,,,,,,,,,,1.0,
Q58843,,,,,,,,,,,1.0,
Q588574,,,,,,,,,,,1.0,
Q590247,,,,,,,,,,,1.0,
Q60029,,,,,,,,,,1.0,,
Q6024095,,,,,,,,,,1.0,,
Q604606,,,,,,,,,,1.0,,
Q6071674,,,,,,,,,,2.0,,
Q609726,,,,,,,,,,1.0,,
Q610315,,,,,,,,,,,2.0,
Q6122041,,,,,,,,,,1.0,,
Q6122670,,,,,,,,,,,3.0,
Q6124072,1.0,,,,,,,,,,1.0,
Q628490,,,,,,,,,,,1.0,
Q637909,,,,,,,,,,1.0,,
Q640605,,,,,,,,,,3.0,,
Q644137,,,,,,,,,,1.0,,
Q6443007,,,,,,,,,,1.0,,
Q648255,,,,,,,,,,1.0,,
Q65,,,,,,,,,,1.0,,
Q6501380,,,,,,,,,,5.0,12.0,
Q6510842,,,,,,,,,,1.0,,
Q6529576,,,,,,,,,,,3.0,
Q653884,,,,,,,,,,2.0,,
Q6572419,,,,,,,,,,,1.0,
Q660947,,,,,,,,,,,1.0,
Q664609,,,,,,,,,,1.0,1.0,
Q668,,,,,,,,,,3.0,10.0,
Q6693471,,,,,,,,,,1.0,,
Q678551,,,,,,,,,,3.0,8.0,
Q68518,,,,,,,,,,1.0,1.0,
